Teams,Tot Pts,Pts/G,PassYds,PYds/G,PYdsRank
BUF,374,23.4,2867,179.2,1
JAX,316,19.8,3113,194.6,2
MIN,341,21.3,3140,196.2,3
ARI,425,26.6,3262,203.9,4
BAL,287,17.9,3360,210,5
TEN,303,18.9,3471,216.9,6
CHI,283,17.7,3515,219.7,7
DET,360,22.5,3599,224.9,8
LAC,329,20.6,3646,227.9,9
PIT,360,22.5,3697,231.1,10
SF,435,27.2,3732,233.2,11
GB,400,25,3752,234.5,12
DAL,324,20.2,3755,234.7,13
LA,384,24,3780,236.2,14
WAS,359,22.4,3794,237.1,15
IND,344,21.5,3805,237.8,16
SEA,347,21.7,3842,240.1,17
CAR,382,23.9,3847,240.4,18
OAK,467,29.2,3853,240.8,19
DEN,349,21.8,3929,245.6,20
MIA,433,27.1,3932,245.8,21
NE,325,20.3,3943,246.4,22
NYG,412,25.8,4044,252.8,23
NYJ,441,27.6,4065,254.1,24
CLE,392,24.5,4125,257.8,25
TB,464,29,4151,259.4,26
ATL,423,26.4,4153,259.6,27
HOU,316,19.8,4167,260.4,28
NO,353,22.1,4302,268.9,29
PHI,348,21.8,4308,269.2,30
KC,421,26.3,4374,273.4,31
CIN,455,28.4,4414,275.9,32
